Scheme,Unit,Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Taupo,cumecs,1956,61.02628571,150.7227143,171.592,293.1522857,225.3744286,140.0342857,138.2768571,195.8198571,216.688,300.2161429,206.4525714,324.6561429,387.2107143,442.7902857,299.171,268.2765714,212.9552857,194.8915714,225.2987143,260.7514286,191.7197143,235.3415714,186.7925714,160.121,197.5657143,143.7544286,215.2524286,246.1022857,220.5535714,177.5242857,166.1864286,251.1762857,220.2847143,173.9877143,185.4732857,166.782,142.1164286,196.4415714,201.1898571,237.2881429,189.795,139.6017143,110.6004286,92.62242857,115.997,78.52128571,83.75542857,97.391,65.40157143,189.3062857,147.6822857,163.424,163.424
Taupo,cumecs,1957,69.27171429,69.114,89.35757143,117.7424286,89.06857143,168.182,60.06028571,260.7137143,229.6884286,120.0312857,126.3302857,140.9685714,198.2567143,134.0808571,230.7297143,142.8771429,155.7688571,143.6524286,93.05942857,144.1202857,119.0698571,139.3402857,127.4508571,90.567,103.3798571,118.1667143,141.6215714,195.3312857,140.1048571,223.5174286,183.6322857,123.531,188.6555714,143.559,242.4501429,186.4675714,159.1337143,248.1825714,228.005,146.8465714,111.6572857,114.325,122.38,104.8491429,85.628,109.3807143,173.5278571,681.4475714,307.7857143,135.2057143,146.1105714,108.1527143,108.1527143
Taupo,cumecs,1958,123.9101429,101.5515714,63.36185714,91.68514286,72.79,116.7775714,200.1435714,149.144,126.2621429,222.0765714,136.589,118.0938571,161.607,183.6607143,117.7847143,102.0688571,300.5795714,253.4744286,177.8384286,217.631,229.6931429,209.6491429,162.6165714,121.4068571,178.3485714,136.0634286,110.5178571,97.669,124.6867143,126.9345714,131.5325714,308.8904286,176.4197143,137.6675714,88.332,88.67214286,97.72028571,510.2934286,433.6495714,385.0824286,162.9151429,202.5428571,260.4911429,131.5135714,211.497,112.3024286,151.383,154.8357143,137.806,105.3451429,142.4997143,226.6494286,226.6494286
Taupo,cumecs,1959,126.7672857,102.3512857,315.388,136.3251429,149.6357143,114.835,124.9724286,104.1442857,164.3978571,255.156,140.7828571,186.5974286,146.9965714,116.3792857,99.50128571,129.9534286,99.48,142.9467143,213.7085714,167.2192857,147.9054286,141.4514286,92.84857143,74.00214286,65.56957143,106.8825714,185.6057143,214.8215714,206.5121429,180.3744286,147.6074286,152.9015714,120.2764286,142.6341429,192.9042857,103.884,71.85914286,171.4962857,86.74885714,87.95857143,96.05757143,99.82142857,72.59228571,76.96171429,61.14428571,312.6432857,131.1058571,86.74657143,191.1105714,66.97871429,134.7095714,82.98071429,88.58828571
Taupo,cumecs,1960,54.87671429,58.423,77.31714286,62.28614286,51.84828571,111.312,118.8802857,118.2788571,120.2741429,217.1497143,259.0257143,168.9164286,133.128,85.75557143,214.2014286,241.7474286,238.9071429,138.2971429,208.169,153.9757143,213.9838571,152.9808571,135.8617143,220.1267143,250.8621429,164.8924286,142.1624286,177.1227143,144.6832857,109.1851429,150.507,146.1277143,117.1511429,127.4598571,102.2272857,74.72971429,94.77885714,82.02514286,87.30485714,41.39371429,60.52457143,36.52285714,273.5681429,84.05657143,113.1615714,102.472,41.42428571,100.45,116.0818571,66.314,44.01814286,78.91871429,78.91871429
Taupo,cumecs,1961,77.57157143,58.26228571,133.7554286,112.2958571,149.0267143,67.80485714,75.63185714,87.163,59.408,64.40528571,101.9795714,134.4167143,179.3515714,142.8874286,175.1112857,195.6027143,264.7014286,185.5741429,192.2304286,115.2748571,98.42928571,131.5074286,170.0981429,209.089,144.3678571,160.8088571,166.4551429,116.7532857,134.1571429,125.3107143,182.3614286,94.53457143,91.927,83.284,83.214,158.4767143,155.8382857,80.98742857,65.68785714,93.21242857,161.9801429,106.3562857,95.342,129.2877143,131.8065714,49.95871429,64.40428571,90.10657143,245.0381429,407.6147143,178.2501429,95.43471429,95.43471429
Taupo,cumecs,1962,112.4307143,115.0915714,227.0098571,109.0514286,155.8088571,318.7187143,148.5275714,159.2388571,128.0408571,311.8357143,206.9911429,122.8132857,330.5768571,242.6121429,203.2445714,240.1611429,168.4397143,152.3097143,304.4982857,163.8097143,161.8618571,245.8482857,211.1061429,283.3714286,227.587,215.1514286,152.3091429,287.6031429,197.2908571,262.7928571,442.956,349.8865714,265.041,183.3557143,174.2345714,297.097,301.9628571,155.0912857,264.3098571,140.0798571,128.06,267.9242857,110.489,80.51557143,117.127,109.8301429,162.0942857,158.4512857,88.36485714,73.596,60.24257143,68.30471429,68.30471429
Taupo,cumecs,1963,146.1472857,64.45285714,111.8065714,85.51057143,62.55742857,140.5351429,77.92728571,76.73014286,125.5888571,163.0834286,250.7657143,121.3894286,254.0404286,110.4225714,193.6112857,267.091,233.0781429,173.33,135.3602857,172.3602857,132.6501429,117.0412857,258.6927143,246.3345714,261.0965714,247.9531429,164.0894286,136.1418571,108.4161429,80.259,93.60414286,113.607,164.2302857,107.538,66.43214286,104.88,58.88414286,141.0208571,106.4311429,63.80728571,120.1768571,153.8504286,171.63,106.1831429,81.76857143,56.206,105.3395714,44.90357143,253.1914286,121.5575714,396.9211429,96.40485714,96.40485714
Taupo,cumecs,1964,79.89028571,48.42585714,85.90157143,56.86514286,75.73442857,77.20257143,107.6078571,92.89157143,81.64885714,89.07442857,98.788,137.541,99.26671429,97.579,120.3017143,242.5728571,460.1805714,322.3528571,160.7364286,262.2012857,312.036,178.3782857,182.8035714,132.9247143,206.875,411.2067143,323.2647143,269.7337143,186.1218571,278.528,234.0234286,193.0307143,201.5334286,168.523,135.4594286,117.4428571,125.1075714,213.9574286,353.3348571,183.8458571,213.1004286,117.4702857,146.5427143,149.901,234.8835714,155.7267143,321.6271429,142.24,152.6774286,79.65885714,111.9278571,201.6168571,174.8588571
Taupo,cumecs,1965,123.7405714,98.40542857,83.53828571,168.3075714,80.34285714,74.16,101.9025714,107.3561429,201.7108571,190.8948571,149.2804286,121.9042857,244.3815714,102.136,133.872,129.5694286,182.2741429,226.7895714,60.86842857,237.2095714,318.3618571,231.6975714,152.053,108.8462857,82.46771429,172.1514286,109.4661429,114.219,102.6855714,99.71457143,164.2955714,281.7477143,263.6418571,153.1414286,147.9911429,103.8037143,138.5042857,242.6705714,173.9172857,157.8608571,183.1841429,81.44085714,273.654,135.8332857,168.7905714,66.468,187.3377143,213.801,192.0287143,71.78714286,93.47128571,80.00757143,80.00757143
Taupo,cumecs,1966,144.2744286,106.4631429,53.62842857,120.1152857,389.083,240.9092857,135.4434286,84.03728571,94.36185714,154.9332857,121.7198571,104.0567143,233.8857143,217.776,404.6211429,232.6654286,141.1644286,262.6177143,158.0648571,163.6497143,134.1217143,241.1321429,113.2562857,179.1861429,136.5944286,305.3768571,139.8917143,198.9265714,95.98071429,106.1491429,115.7885714,175.0005714,101.4055714,273.8868571,117.8398571,99.79628571,282.3307143,129.3462857,148.6225714,132.893,188.8781429,195.8711429,122.2865714,95.03471429,390.7257143,131.8332857,89.54271429,86.59042857,80.08028571,182.2517143,77.24842857,178.0872857,178.0872857
Taupo,cumecs,1967,105.6572857,68.70385714,72.84128571,60.27942857,89.59085714,46.62828571,87.65428571,64.05,230.623,125.6811429,81.87814286,91.21685714,130.0282857,143.7187143,134.6232857,101.9551429,98.07442857,96.727,266.0951429,309.0527143,166.152,235.2308571,176.4394286,132.617,195.9911429,142.4767143,91.982,144.9161429,117.4821429,88.21814286,92.416,97.21228571,188.3714286,272.5787143,194.5801429,254.0562857,135.4548571,212.5395714,152.5094286,212.169,76.91385714,86.12057143,113.7615714,79.33614286,76.93371429,104.1672857,62.62514286,73.52571429,67.22257143,84.67371429,76.21742857,24.01742857,24.01742857
Taupo,cumecs,1968,50.56242857,81.87671429,111.2912857,40.42671429,70.81614286,111.3602857,15.08742857,184.4357143,159.9647143,301.5462857,226.6832857,157.7137143,171.3925714,312.5834286,185.4944286,123.7095714,123.0417143,201.0482857,151.5704286,122.5397143,157.4911429,170.9782857,179.7721429,150.765,157.5312857,124.8081429,127.4887143,160.393,185.2048571,151.2512857,218.9214286,145.104,153.7045714,176.4954286,131.2274286,134.5381429,282.3232857,128.6218571,120.8588571,130.7372857,160.6027143,170.4995714,115.4311429,63.815,180.297,225.7555714,220.7631429,127.1937143,135.1871429,47.40185714,77.827,59.98114286,59.98114286
Taupo,cumecs,1969,71.31942857,85.67742857,54.923,93.722,105.2615714,113.1295714,137.7984286,97.955,192.4844286,80.10871429,50.26942857,116.056,100.2718571,116.8434286,130.915,101.91,67.07657143,92.73285714,98.18214286,189.0585714,149.5872857,120.6948571,82.133,102.4087143,279.627,159.365,282.8615714,167.588,46.19742857,143.018,102.2477143,79.55228571,91.80557143,87.20642857,111.822,114.2267143,96.43628571,156.6911429,242.3815714,117.1178571,132.5514286,72.679,62.74957143,105.7275714,32.03657143,30.72328571,37.24014286,52.51314286,38.87757143,63.77171429,80.37257143,55.31957143,55.31957143
Taupo,cumecs,1970,119.7161429,171.8362857,52.76771429,33.36414286,63.74942857,62.94414286,155.7722857,72.11442857,230.6127143,125.3062857,321.5644286,179.3068571,226.0025714,150.8894286,183.198,207.6158571,164.3872857,164.8788571,148.2892857,243.8167143,262.1362857,174.839,201.845,180.8672857,253.4408571,343.5745714,388.8348571,344.2141429,197.1817143,188.5811429,151.7102857,374.4585714,235.2282857,170.1114286,142.2638571,113.4094286,97.93042857,140.191,139.3547143,87.954,201.6072857,240.5728571,96.281,98.20314286,130.4102857,114.8557143,87.35671429,69.61571429,189.5512857,71.16057143,98.04714286,74.37342857,71.20814286
Taupo,cumecs,1971,78.60957143,47.86557143,84.50742857,83.449,103.9595714,131.0347143,175.7705714,91.12828571,150.6935714,294.4671429,185.4191429,95.12028571,152.0084286,164.9664286,90.37285714,93.17114286,127.0304286,193.0104286,210.681,180.6515714,154.4574286,297.2281429,291.7935714,222.64,180.1515714,263.6561429,295.807,282.1764286,270.7264286,327.7731429,206.839,163.2144286,179.9462857,243.4445714,198.906,299.6768571,193.3034286,140.4122857,115.8502857,208.5977143,118.17,89.83857143,47.33885714,105.8818571,62.01842857,60.89914286,93.50585714,97.18285714,249.6501429,411.0808571,203.6748571,194.1575714,194.1575714
Taupo,cumecs,1972,80.69957143,106.3555714,90.95342857,82.22685714,67.47085714,70.96828571,201.7034286,281.8244286,107.4217143,92.33728571,97.30728571,137.5265714,118.8684286,187.348,213.2947143,330.0878571,183.221,153.5202857,105.5044286,236.9932857,188.001,151.806,218.7638571,181.7902857,165.0758571,175.8977143,135.422,163.8935714,223.4532857,132.838,132.9937143,135.8878571,131.82,125.01,112.4554286,136.1578571,102.2397143,101.1528571,98.26242857,89.37328571,121.0427143,149.3328571,116.3838571,45.57271429,60.55814286,85.49014286,59.12214286,67.88657143,69.90385714,84.52757143,101.7635714,56.33942857,56.33942857
Taupo,cumecs,1973,55.867,33.84657143,56.07814286,94.623,39.01,122.4438571,205.2142857,111.1152857,93.79471429,133.9148571,256.899,124.1785714,135.9982857,120.0075714,128.2054286,55.33085714,117.6032857,71.843,135.579,113.3412857,202.4988571,220.8468571,187.8931429,135.9497143,270.9402857,327.5407143,174.9797143,116.2561429,126.5792857,140.8881429,104.7387143,158.077,141.1011429,178.0378571,174.2351429,166.9077143,94.89,132.6071429,145.0492857,140.4075714,83.784,58.87042857,63.28214286,45.92742857,98.98357143,71.125,138.1882857,64.30371429,23.94914286,52.78557143,59.48528571,68.83385714,68.83385714
Taupo,cumecs,1974,52.57285714,83.25428571,51.27528571,249.8081429,69.354,80.851,62.11971429,63.70542857,265.1051429,164.184,110.4518571,228.4815714,156.5101429,193.4517143,293.996,194.5,379.3065714,295.408,234.0678571,212.8611429,211.0165714,227.7824286,176.3995714,174.8157143,148.8332857,161.4441429,210.3995714,153.6058571,262.051,211.1288571,229.4981429,159.3615714,170.7135714,141.1067143,135.4218571,165.7721429,214.892,168.0462857,126.1934286,174.8214286,142.7135714,169.6028571,164.1397143,117.1881429,54.29942857,52.23357143,95.50157143,84.174,60.30057143,100.5554286,164.5022857,87.91028571,87.91028571
Taupo,cumecs,1975,63.96,77.03257143,67.89757143,92.59185714,151.7,144.9675714,114.8267143,143.9337143,226.628,279.6817143,247.9265714,262.1191429,184.2801429,171.152,190.5187143,184.6712857,249.9658571,167.2535714,169.6694286,139.5285714,238.5727143,260.5144286,411.5678571,221.0934286,169.8484286,223.3244286,212.2977143,245.4192857,179.2014286,234.777,277.046,200.0151429,171.5694286,123.6031429,169.8572857,156.559,122.4187143,115.7008571,123.1708571,126.02,143.0028571,353.763,259.344,174.3231429,130.9824286,344.9482857,137.2115714,116.951,89.62557143,120.8184286,73.30928571,106.4194286,185.1312857
Taupo,cumecs,1976,95.86771429,132.8227143,67.28385714,85.62571429,222.0978571,157.5687143,108.9611429,120.644,167.1362857,132.892,165.8802857,182.5847143,166.9452857,200.876,292.5508571,270.2878571,159.7585714,236.325,234.2395714,312.9437143,195.8112857,177.4874286,132.9847143,301.6888571,226.516,199.697,128.4727143,211.2201429,220.8117143,192.5154286,147.9321429,147.9192857,112.5682857,116.0244286,198.998,172.9291429,164.8275714,143.6055714,104.7737143,171.31,158.6562857,81.44257143,124.907,81.95057143,74.03028571,107.0232857,129.3517143,96.089,64.27914286,66.47457143,66.99142857,138.9101429,138.9101429
Taupo,cumecs,1977,86.35314286,92.46328571,66.92857143,55.96657143,118.9924286,71.36728571,115.0347143,193.4324286,226.7418571,280.409,206.3655714,240.6117143,267.3584286,388.2334286,185.1025714,167.9972857,220.1571429,279.5781429,186.1561429,204.2715714,191.8237143,168.7841429,179.7994286,141.0395714,275.956,166.4222857,215.7464286,230.1728571,144.6825714,126.8022857,133.7785714,155.4654286,109.5555714,158.8212857,134.8498571,132.5965714,147.6728571,148.043,96.38128571,95.383,92.11385714,72.38957143,114.9688571,116.5705714,96.761,66.662,80.51185714,44.35771429,23.00728571,40.89328571,56.35257143,41.97128571,41.97128571
Taupo,cumecs,1978,72.42242857,56.91314286,168.989,147.0815714,79.365,41.10171429,152.9027143,82.85128571,54.04028571,59.872,127.7558571,111.4648571,117.882,85.69042857,217.4814286,212.7097143,308.4151429,175.5231429,132.4062857,153.7435714,146.2077143,180.2502857,114.044,134.996,229.4645714,167.9538571,140.227,107.6577143,100.3485714,232.3827143,125.9344286,88.27128571,363.5108571,181.4944286,117.635,149.0388571,129.7867143,151.4791429,142.6714286,78.68814286,82.108,79.57371429,74.78728571,70.30857143,129.4541429,85.294,226.0984286,104.2192857,88.57871429,225.7275714,213.9961429,305.283,305.283
